Year,Region,KerosenePrice_Assumed_Year2005USDPerkg,CarbonPrice_Assumed_Year2005USDPerkg,EffectiveKerosenePrice_WithCarbon_Year2005USDPerkg,Domestic_Fuel_Mt,International_Fuel_Mt,Domestic_RPK,International_RPK,Domestic_Hold_Freight_RTK,International_Hold_Freight_RTK,Domestic_Freighter_RTK,International_Freighter_RTK,Domestic_Passenger_Flights,International_Passenger_Flights,Domestic_Freighter_Flights,International_Freighter_Flights,Domestic_NOx_kt,International_NOx_kt,Domestic_AKM,International_AKM
2007.0,CSA,0.464973089,0.0,0.464973089,2.0686496182448337,8.450708051758852,56114749940.102295,208416823792.53516,558571051.427005,2290486149.3228874,6943686.550472951,2081963075.4285946,721330.2407115698,1137329.2063388824,176.00000000424916,60184.18702683598,27.902289248563307,107.62211922659117,570970315.9001923,1776741847.6914673
2007.0,CHI,0.464973089,0.0,0.464973089,4.2613484831526875,9.093913039556355,82774798648.0,114019650705.75,1864078111.875,3716368439.5625,3740046854.375,15073013154.230469,669271.1691894531,413196.75990104675,325625.5999908447,511618.6734790802,52.51030348427594,120.2272352425498,1075184446.8125,1455040883.4658203
2007.0,EEU,0.464973089,0.0,0.464973089,0.02467998006693506,1.4029200483510067,532029389.54296875,39785380315.96875,586861.7464008331,175721246.05230713,177646.4149002377,99671611.23620605,23702.160151720047,311414.12200188637,95.00366972759366,12438.311780788004,0.41687208862822445,16.62573146885552,7418366.668792725,390309768.92285156
2007.0,FSU,0.464973089,0.0,0.464973089,0.7585382331044457,4.329061575666856,20421448527.421875,101192441282.6875,131838634.4736023,1012662825.4956055,551920456.8062499,3858083920.472473,120171.00929927826,478048.2038054466,39495.19999961852,97035.1772480011,10.505712710910302,50.734032403634046,228424580.31237793,1129981460.6103516
2007.0,IND,0.464973089,0.0,0.464973089,0.6644328813126776,1.9917369531467557,17865666476.0,50996536280.0,344586406.59375,913781004.71875,252565760.8125,380250405.609375,163459.41719055176,165635.54955291748,22862.400000572205,1571.3197794556618,10.212012509349734,25.066241692751646,182545722.59375,374301270.453125
2007.0,JPN,0.464973089,0.0,0.464973089,2.021330405957997,5.775729325134307,54598827584.0,128602117568.0,732935405.6875,3032520370.25,0.0,2618335545.25,586290.4252624512,288092.9874267578,0.0,61854.51412963867,32.08925852924585,76.49889183044434,461405315.875,903167680.3125
2007.0,MEX,0.464973089,0.0,0.464973089,0.5094491188065149,1.5418212296790443,15870324934.0,38956607422.0,24509081.58203125,310268502.1875,23508.800000190735,255825366.21875,230996.8447341919,193489.95429229736,4.7999999998137355,2198.990690112114,7.130054379114881,18.643257998861372,181034687.546875,334970808.5
2007.0,MEA,0.464973089,0.0,0.464973089,0.30577241500299124,14.422035202980624,11479853926.00586,237862553933.5,72624908.90561676,3831925728.5908203,8488.453916192055,19099522756.089844,150654.94061529636,929062.3665895462,1.599999999976717,437289.6840669513,7.561351777695563,184.19456570758484,91950019.67004395,2679424067.1640625
2007.0,ODA,0.464973089,0.0,0.464973089,1.734711200651418,15.454900088507202,47784347718.16797,332230588639.8125,588869831.9910583,5944121443.486816,20628251.582286656,8713797240.853333,620304.4505577087,1019079.3559224606,4968.378130959696,365293.63404445024,26.195232214260614,198.47813972296717,447324971.29034424,2625048925.0839844
2007.0,SKO,0.464973089,0.0,0.464973089,0.28113010873494204,3.916273838840425,5994873664.75,52096955824.0,44469564.546875,1831983927.4375,73676.0,6261800697.75,160829.0517578125,133052.0720062256,21.600000000558794,142122.96894836426,5.001477481564507,51.61393363215029,61999601.7109375,586007169.59375
2007.0,UK,0.464973089,0.0,0.464973089,1.5162377075175755,11.382896160241216,25625116644.0,292170681040.0,5503220.892333984,4195122379.0,6080.0,945337326.21875,576067.8749389648,1654040.6594848633,1.599999999976717,13145.436729431152,26.019105325452983,151.8335065022111,212204474.5703125,2008791556.375
2007.0,USA,0.464973089,0.0,0.464973089,28.376771137918468,28.362478775323325,700025603229.0088,684519470070.9375,5038181376.288198,8853619873.271973,7190512204.6,7661852657.711426,6245473.859059334,2379893.2097759247,800654.2747192383,30112.646354198456,311.05593886351016,349.4941922877915,8157594046.527649,6620204249.624023
